Variable / Field Name,Form Name
chrrecruit_adult,recruitment_source
chrrecruit_adult_other,recruitment_source
chrrecruit_judicial,recruitment_source
chrrecruit_judicial_other,recruitment_source
chrrecruit_consumer,recruitment_source
chrrecruit_consumer_other,recruitment_source
chrrecruit_self,recruitment_source
chrrecruit_self_other,recruitment_source
chrrecruit_selfheard,recruitment_source
chrrecruit_selfscreening,recruitment_source
chrrecruit_other,recruitment_source
chrrecruit_comments,recruitment_source
chrcoen_missing,coenrollment_form
chrcoen_missing_table,coenrollment_form
chrcoen_missing_spec,coenrollment_form
chrcoen_other_studies,coenrollment_form
chrcoen_study1,coenrollment_form
chrcoen_study1_tp,coenrollment_form
chrcoen_study1_name,coenrollment_form
chrcoen_study1_name_other,coenrollment_form
chrcoen_study1_start,coenrollment_form
chrcoen_study1_stop,coenrollment_form
chrcoen_study1_id,coenrollment_form
chrcoen_study1_amp_status,coenrollment_form
chrcoen_study1_reason1,coenrollment_form
chrcoen_study1_reason1_other,coenrollment_form
chrcoen_study1_reason2,coenrollment_form
chrcoen_study1_reason2_other,coenrollment_form
chrcoen_study1_reason3,coenrollment_form
chrcoen_study1_reason3_other,coenrollment_form
chrcoen_study1_reason4,coenrollment_form
chrcoen_study1_reason4_other,coenrollment_form
chrcoen_study1_reason5,coenrollment_form
chrcoen_study1_reason5_other,coenrollment_form
chrcoen_study1_timepoint,coenrollment_form
chrcoen_study1_reason6,coenrollment_form
chrcoen_study1_reason6_other,coenrollment_form
chrcoen_study1_reason7,coenrollment_form
chrcoen_study1_reason7_other,coenrollment_form
chrcoen_study1_reason7_dis,coenrollment_form
chrcoen_other_studies2,coenrollment_form
chrcoen_study2,coenrollment_form
chrcoen_study2_name,coenrollment_form
chrcoen_study2_tp,coenrollment_form
chrcoen_study2_name_other,coenrollment_form
chrcoen_study2_start,coenrollment_form
chrcoen_study2_stop,coenrollment_form
chrcoen_study2_id,coenrollment_form
chrcoen_study2_amp_status,coenrollment_form
chrcoen_study2_reason1,coenrollment_form
chrcoen_study2_reason1_other,coenrollment_form
chrcoen_study2_reason2,coenrollment_form
chrcoen_study2_reason2_other,coenrollment_form
chrcoen_study2_reason3,coenrollment_form
chrcoen_study2_reason3_other,coenrollment_form
chrcoen_study2_reason4,coenrollment_form
chrcoen_study2_reason4_other,coenrollment_form
chrcoen_study2_reason5,coenrollment_form
chrcoen_study2_reason5_other,coenrollment_form
chrcoen_study2_reason6,coenrollment_form
chrcoen_study2_reason6_other,coenrollment_form
chrcoen_study2_reason7,coenrollment_form
chrcoen_study2_reason7_other,coenrollment_form
chrcoen_study2_reason7_dis,coenrollment_form
chrcoen_other_studies3,coenrollment_form
chrcoen_study3,coenrollment_form
chrcoen_study3_tp,coenrollment_form
chrcoen_study3_name,coenrollment_form
chrcoen_study3_name_other,coenrollment_form
chrcoen_study3_start,coenrollment_form
chrcoen_study3_stop,coenrollment_form
chrcoen_study3_id,coenrollment_form
chrcoen_study3_amp_status,coenrollment_form
chrcoen_study3_reason1,coenrollment_form
chrcoen_study3_reason1_other,coenrollment_form
chrcoen_study3_reason2,coenrollment_form
chrcoen_study3_reason2_other,coenrollment_form
chrcoen_study3_reason3,coenrollment_form
chrcoen_study3_reason3_other,coenrollment_form
chrcoen_study3_reason4,coenrollment_form
chrcoen_study3_reason4_other,coenrollment_form
chrcoen_study3_reason5,coenrollment_form
chrcoen_study3_reason5_other,coenrollment_form
chrcoen_study3_reason6,coenrollment_form
chrcoen_study3_reason6_other,coenrollment_form
chrcoen_study3_reason7,coenrollment_form
chrcoen_study3_reason7_other,coenrollment_form
chrcoen_study3_reason7_dis,coenrollment_form
chrcoen_other_studies4,coenrollment_form
chrcoen_study4,coenrollment_form
chrcoen_study4_tp,coenrollment_form
chrcoen_study4_name,coenrollment_form
chrcoen_study4_name_other,coenrollment_form
chrcoen_study4_start,coenrollment_form
chrcoen_study4_stop,coenrollment_form
chrcoen_study4_id,coenrollment_form
chrcoen_study4_amp_status,coenrollment_form
chrcoen_study4_reason1,coenrollment_form
chrcoen_study4_reason1_other,coenrollment_form
chrcoen_study4_reason2,coenrollment_form
chrcoen_study4_reason2_other,coenrollment_form
chrcoen_study4_reason3,coenrollment_form
chrcoen_study4_reason3_other,coenrollment_form
chrcoen_study4_reason4,coenrollment_form
chrcoen_study4_reason4_other,coenrollment_form
chrcoen_study4_reason5,coenrollment_form
chrcoen_study4_reason5_other,coenrollment_form
chrcoen_study4_reason6,coenrollment_form
chrcoen_study4_reason6_other,coenrollment_form
chrcoen_study4_reason7,coenrollment_form
chrcoen_study4_reason7_other,coenrollment_form
chrcoen_study4_reason7_dis,coenrollment_form
chrcoen_other_studies5,coenrollment_form
chrcoen_study5,coenrollment_form
chrcoen_study5_tp,coenrollment_form
chrcoen_study5_name_other,coenrollment_form
chrcoen_study5_name,coenrollment_form
chrcoen_study5_start,coenrollment_form
chrcoen_study5_stop,coenrollment_form
chrcoen_study5_id,coenrollment_form
chrcoen_study5_amp_status,coenrollment_form
chrcoen_study5_reason1,coenrollment_form
chrcoen_study5_reason1_other,coenrollment_form
chrcoen_study5_reason2,coenrollment_form
chrcoen_study5_reason2_other,coenrollment_form
chrcoen_study5_reason3,coenrollment_form
chrcoen_study5_reason3_other,coenrollment_form
chrcoen_study5_reason4,coenrollment_form
chrcoen_study5_reason4_other,coenrollment_form
chrcoen_study5_reason5,coenrollment_form
chrcoen_study5_reason5_other,coenrollment_form
chrcoen_study5_reason6,coenrollment_form
chrcoen_study5_reason6_other,coenrollment_form
chrcoen_study5_reason7,coenrollment_form
chrcoen_study5_reason7_other,coenrollment_form
chrcoen_study5_reason7_dis,coenrollment_form
chrcoen_comments,coenrollment_form
chrap_missing,lifetime_ap_exposure_screen
chrap_missing_table,lifetime_ap_exposure_screen
chrap_missing_spec,lifetime_ap_exposure_screen
chrap_date,lifetime_ap_exposure_screen
chrap_dateerror,lifetime_ap_exposure_screen
chrap_date_err,lifetime_ap_exposure_screen
chrap_instructions,lifetime_ap_exposure_screen
chrap_ams,lifetime_ap_exposure_screen
chrap_amscourse,lifetime_ap_exposure_screen
chrap_amsdose1,lifetime_ap_exposure_screen
chrap_amsdays1,lifetime_ap_exposure_screen
chrap_amsdosecourse1,lifetime_ap_exposure_screen
chrap_amsdoseeq1,lifetime_ap_exposure_screen
chrap_amsdose2,lifetime_ap_exposure_screen
chrap_amsdays2,lifetime_ap_exposure_screen
chrap_amsdosecourse2,lifetime_ap_exposure_screen
chrap_amsdoseeq2,lifetime_ap_exposure_screen
chrap_amsdose3,lifetime_ap_exposure_screen
chrap_amsdays3,lifetime_ap_exposure_screen
chrap_amsdosecourse3,lifetime_ap_exposure_screen
chrap_amsdoseeq3,lifetime_ap_exposure_screen
chrap_app,lifetime_ap_exposure_screen
chrap_appcourse,lifetime_ap_exposure_screen
chrap_appdose1,lifetime_ap_exposure_screen
chrap_appdays1,lifetime_ap_exposure_screen
chrap_appdosecourse1,lifetime_ap_exposure_screen
chrap_appdoseeq1,lifetime_ap_exposure_screen
chrap_appdose2,lifetime_ap_exposure_screen
chrap_appdays2,lifetime_ap_exposure_screen
chrap_appdosecourse2,lifetime_ap_exposure_screen
chrap_appdoseeq2,lifetime_ap_exposure_screen
chrap_appdose3,lifetime_ap_exposure_screen
chrap_appdays3,lifetime_ap_exposure_screen
chrap_appdosecourse3,lifetime_ap_exposure_screen
chrap_appdoseeq3,lifetime_ap_exposure_screen
chrap_asp,lifetime_ap_exposure_screen
chrap_aspcourse,lifetime_ap_exposure_screen
chrap_aspdose1,lifetime_ap_exposure_screen
chrap_aspdays1,lifetime_ap_exposure_screen
chrap_aspdosecourse1,lifetime_ap_exposure_screen
chrap_aspdoseeq1,lifetime_ap_exposure_screen
chrap_aspdose2,lifetime_ap_exposure_screen
chrap_aspdays2,lifetime_ap_exposure_screen
chrap_aspdosecourse2,lifetime_ap_exposure_screen
chrap_aspdoseeq2,lifetime_ap_exposure_screen
chrap_aspdose3,lifetime_ap_exposure_screen
chrap_aspdosecourse3,lifetime_ap_exposure_screen
chrap_aspdays3,lifetime_ap_exposure_screen
chrap_aspdoseeq3,lifetime_ap_exposure_screen
chrap_brx,lifetime_ap_exposure_screen
chrap_brxcourse,lifetime_ap_exposure_screen
chrap_brxdose1,lifetime_ap_exposure_screen
chrap_brxdays1,lifetime_ap_exposure_screen
chrap_brxdosecourse1,lifetime_ap_exposure_screen
chrap_brxdoseeq1,lifetime_ap_exposure_screen
chrap_brxdose2,lifetime_ap_exposure_screen
chrap_brxdays2,lifetime_ap_exposure_screen
chrap_brxdosecourse2,lifetime_ap_exposure_screen
chrap_brxdoseeq2,lifetime_ap_exposure_screen
chrap_brxdose3,lifetime_ap_exposure_screen
chrap_brxdays3,lifetime_ap_exposure_screen
chrap_brxdosecourse3,lifetime_ap_exposure_screen
chrap_brxdoseeq3,lifetime_ap_exposure_screen
chrap_crp,lifetime_ap_exposure_screen
chrap_crpcourse,lifetime_ap_exposure_screen
chrap_crpdose1,lifetime_ap_exposure_screen
chrap_crpdays1,lifetime_ap_exposure_screen
chrap_crpdosecourse1,lifetime_ap_exposure_screen
chrap_crpdoseeq1,lifetime_ap_exposure_screen
chrap_crpdose2,lifetime_ap_exposure_screen
chrap_crpdays2,lifetime_ap_exposure_screen
chrap_crpdosecourse2,lifetime_ap_exposure_screen
chrap_crpdoseeq2,lifetime_ap_exposure_screen
chrap_crpdose3,lifetime_ap_exposure_screen
chrap_crpdays3,lifetime_ap_exposure_screen
chrap_crpdosecourse3,lifetime_ap_exposure_screen
chrap_crpdoseeq3,lifetime_ap_exposure_screen
chrap_cpz,lifetime_ap_exposure_screen
chrap_cpzcourse,lifetime_ap_exposure_screen
chrap_cpzdose1,lifetime_ap_exposure_screen
chrap_cpzdays1,lifetime_ap_exposure_screen
chrap_cpzdosecourse1,lifetime_ap_exposure_screen
chrap_cpzdoseeq1,lifetime_ap_exposure_screen
chrap_cpzdose2,lifetime_ap_exposure_screen
chrap_cpzdays2,lifetime_ap_exposure_screen
chrap_cpzdosecourse2,lifetime_ap_exposure_screen
chrap_cpzdoseeq2,lifetime_ap_exposure_screen
chrap_cpzdose3,lifetime_ap_exposure_screen
chrap_cpzdays3,lifetime_ap_exposure_screen
chrap_cpzdosecourse3,lifetime_ap_exposure_screen
chrap_cpzdoseeq3,lifetime_ap_exposure_screen
chrap_clz,lifetime_ap_exposure_screen
chrap_clzcourse,lifetime_ap_exposure_screen
chrap_clzdose1,lifetime_ap_exposure_screen
chrap_clzdays1,lifetime_ap_exposure_screen
chrap_clzdosecourse1,lifetime_ap_exposure_screen
chrap_clzdoseeq1,lifetime_ap_exposure_screen
chrap_clzdose2,lifetime_ap_exposure_screen
chrap_clzdays2,lifetime_ap_exposure_screen
chrap_clzdosecourse2,lifetime_ap_exposure_screen
chrap_clzdoseeq2,lifetime_ap_exposure_screen
chrap_clzdose3,lifetime_ap_exposure_screen
chrap_clzdays3,lifetime_ap_exposure_screen
chrap_clzdosecourse3,lifetime_ap_exposure_screen
chrap_clzdoseeq3,lifetime_ap_exposure_screen
chrap_dpl,lifetime_ap_exposure_screen
chrap_dplcourse,lifetime_ap_exposure_screen
chrap_dpldose1,lifetime_ap_exposure_screen
chrap_dpldays1,lifetime_ap_exposure_screen
chrap_dpldosecourse1,lifetime_ap_exposure_screen
chrap_dpldoseeq1,lifetime_ap_exposure_screen
chrap_dpldose2,lifetime_ap_exposure_screen
chrap_dpldays2,lifetime_ap_exposure_screen
chrap_dpldosecourse2,lifetime_ap_exposure_screen
chrap_dpldoseeq2,lifetime_ap_exposure_screen
chrap_dpldose3,lifetime_ap_exposure_screen
chrap_dpldays3,lifetime_ap_exposure_screen
chrap_dpldosecourse3,lifetime_ap_exposure_screen
chrap_dpldoseeq3,lifetime_ap_exposure_screen
chrap_flh,lifetime_ap_exposure_screen
chrap_flhcourse,lifetime_ap_exposure_screen
chrap_flhdose1,lifetime_ap_exposure_screen
chrap_flhdays1,lifetime_ap_exposure_screen
chrap_flhdosecourse1,lifetime_ap_exposure_screen
chrap_flhdoseeq1,lifetime_ap_exposure_screen
chrap_flhdose2,lifetime_ap_exposure_screen
chrap_flhdays2,lifetime_ap_exposure_screen
chrap_flhdosecourse2,lifetime_ap_exposure_screen
chrap_flhdoseeq2,lifetime_ap_exposure_screen
chrap_flhdose3,lifetime_ap_exposure_screen
chrap_flhdays3,lifetime_ap_exposure_screen
chrap_flhdosecourse3,lifetime_ap_exposure_screen
chrap_flhdoseeq3,lifetime_ap_exposure_screen
chrap_hpl,lifetime_ap_exposure_screen
chrap_hplcourse,lifetime_ap_exposure_screen
chrap_hpldose1,lifetime_ap_exposure_screen
chrap_hpldays1,lifetime_ap_exposure_screen
chrap_hpldosecourse1,lifetime_ap_exposure_screen
chrap_hpldoseeq1,lifetime_ap_exposure_screen
chrap_hpldose2,lifetime_ap_exposure_screen
chrap_hpldays2,lifetime_ap_exposure_screen
chrap_hpldosecourse2,lifetime_ap_exposure_screen
chrap_hpldoseeq2,lifetime_ap_exposure_screen
chrap_hpldose3,lifetime_ap_exposure_screen
chrap_hpldays3,lifetime_ap_exposure_screen
chrap_hpldosecourse3,lifetime_ap_exposure_screen
chrap_hpldoseeq3,lifetime_ap_exposure_screen
chrap_ilo,lifetime_ap_exposure_screen
chrap_ilocourse,lifetime_ap_exposure_screen
chrap_ilodose1,lifetime_ap_exposure_screen
chrap_ilodays1,lifetime_ap_exposure_screen
chrap_ilodosecourse1,lifetime_ap_exposure_screen
chrap_ilodoseeq1,lifetime_ap_exposure_screen
chrap_ilodose2,lifetime_ap_exposure_screen
chrap_ilodays2,lifetime_ap_exposure_screen
chrap_ilodosecourse2,lifetime_ap_exposure_screen
chrap_ilodoseeq2,lifetime_ap_exposure_screen
chrap_ilodose3,lifetime_ap_exposure_screen
chrap_ilodays3,lifetime_ap_exposure_screen
chrap_ilodosecourse3,lifetime_ap_exposure_screen
chrap_ilodoseeq3,lifetime_ap_exposure_screen
chrap_lum,lifetime_ap_exposure_screen
chrap_lumcourse,lifetime_ap_exposure_screen
chrap_lumdose1,lifetime_ap_exposure_screen
chrap_lumdays1,lifetime_ap_exposure_screen
chrap_lumdosecourse1,lifetime_ap_exposure_screen
chrap_lumdoseeq1,lifetime_ap_exposure_screen
chrap_lumdose2,lifetime_ap_exposure_screen
chrap_lumdays2,lifetime_ap_exposure_screen
chrap_lumdosecourse2,lifetime_ap_exposure_screen
chrap_lumdoseeq2,lifetime_ap_exposure_screen
chrap_lumdose3,lifetime_ap_exposure_screen
chrap_lumdays3,lifetime_ap_exposure_screen
chrap_lumdosecourse3,lifetime_ap_exposure_screen
chrap_lumdoseeq3,lifetime_ap_exposure_screen
chrap_lur,lifetime_ap_exposure_screen
chrap_lurcourse,lifetime_ap_exposure_screen
chrap_lurdose1,lifetime_ap_exposure_screen
chrap_lurdays1,lifetime_ap_exposure_screen
chrap_lurdosecourse1,lifetime_ap_exposure_screen
chrap_lurdoseeq1,lifetime_ap_exposure_screen
chrap_lurdose2,lifetime_ap_exposure_screen
chrap_lurdays2,lifetime_ap_exposure_screen
chrap_lurdosecourse2,lifetime_ap_exposure_screen
chrap_lurdoseeq2,lifetime_ap_exposure_screen
chrap_lurdose3,lifetime_ap_exposure_screen
chrap_lurdays3,lifetime_ap_exposure_screen
chrap_lurdosecourse3,lifetime_ap_exposure_screen
chrap_lurdoseeq3,lifetime_ap_exposure_screen
chrap_olz,lifetime_ap_exposure_screen
chrap_olzcourse,lifetime_ap_exposure_screen
chrap_olzdose1,lifetime_ap_exposure_screen
chrap_olzdays1,lifetime_ap_exposure_screen
chrap_olzdosecourse1,lifetime_ap_exposure_screen
chrap_olzdoseeq1,lifetime_ap_exposure_screen
chrap_olzdose2,lifetime_ap_exposure_screen
chrap_olzdays2,lifetime_ap_exposure_screen
chrap_olzdosecourse2,lifetime_ap_exposure_screen
chrap_olzdoseeq2,lifetime_ap_exposure_screen
chrap_olzdose3,lifetime_ap_exposure_screen
chrap_olzdays3,lifetime_ap_exposure_screen
chrap_olzdosecourse3,lifetime_ap_exposure_screen
chrap_olzdoseeq3,lifetime_ap_exposure_screen
chrap_pal,lifetime_ap_exposure_screen
chrap_palcourse,lifetime_ap_exposure_screen
chrap_paldose1,lifetime_ap_exposure_screen
chrap_paldays1,lifetime_ap_exposure_screen
chrap_paldosecourse1,lifetime_ap_exposure_screen
chrap_paldoseeq1,lifetime_ap_exposure_screen
chrap_paldose2,lifetime_ap_exposure_screen
chrap_paldays2,lifetime_ap_exposure_screen
chrap_paldosecourse2,lifetime_ap_exposure_screen
chrap_paldoseeq2,lifetime_ap_exposure_screen
chrap_paldose3,lifetime_ap_exposure_screen
chrap_paldays3,lifetime_ap_exposure_screen
chrap_paldosecourse3,lifetime_ap_exposure_screen
chrap_paldoseeq3,lifetime_ap_exposure_screen
chrap_pcz,lifetime_ap_exposure_screen
chrap_pczcourse,lifetime_ap_exposure_screen
chrap_pczdose1,lifetime_ap_exposure_screen
chrap_pczdays1,lifetime_ap_exposure_screen
chrap_pczdosecourse1,lifetime_ap_exposure_screen
chrap_pczdoseeq1,lifetime_ap_exposure_screen
chrap_pczdose2,lifetime_ap_exposure_screen
chrap_pczdays2,lifetime_ap_exposure_screen
chrap_pczdosecourse2,lifetime_ap_exposure_screen
chrap_pczdoseeq2,lifetime_ap_exposure_screen
chrap_pczdose3,lifetime_ap_exposure_screen
chrap_pczdays3,lifetime_ap_exposure_screen
chrap_pczdosecourse3,lifetime_ap_exposure_screen
chrap_pczdoseeq3,lifetime_ap_exposure_screen
chrap_pim,lifetime_ap_exposure_screen
chrap_pimcourse,lifetime_ap_exposure_screen
chrap_pimdose1,lifetime_ap_exposure_screen
chrap_pimdays1,lifetime_ap_exposure_screen
chrap_pimdosecourse1,lifetime_ap_exposure_screen
chrap_pimdoseeq1,lifetime_ap_exposure_screen
chrap_pimdose2,lifetime_ap_exposure_screen
chrap_pimdays2,lifetime_ap_exposure_screen
chrap_pimdosecourse2,lifetime_ap_exposure_screen
chrap_pimdoseeq2,lifetime_ap_exposure_screen
chrap_pimdose3,lifetime_ap_exposure_screen
chrap_pimdays3,lifetime_ap_exposure_screen
chrap_pimdosecourse3,lifetime_ap_exposure_screen
chrap_pimdoseeq3,lifetime_ap_exposure_screen
chrap_pph,lifetime_ap_exposure_screen
chrap_pphcourse,lifetime_ap_exposure_screen
chrap_pphdose1,lifetime_ap_exposure_screen
chrap_pphdays1,lifetime_ap_exposure_screen
chrap_pphdosecourse1,lifetime_ap_exposure_screen
chrap_pphdoseeq1,lifetime_ap_exposure_screen
chrap_pphdose2,lifetime_ap_exposure_screen
chrap_pphdays2,lifetime_ap_exposure_screen
chrap_pphdosecourse2,lifetime_ap_exposure_screen
chrap_pphdoseeq2,lifetime_ap_exposure_screen
chrap_pphdose3,lifetime_ap_exposure_screen
chrap_pphdays3,lifetime_ap_exposure_screen
chrap_pphdosecourse3,lifetime_ap_exposure_screen
chrap_pphdoseeq3,lifetime_ap_exposure_screen
chrap_qtp,lifetime_ap_exposure_screen
chrap_qtpcourse,lifetime_ap_exposure_screen
chrap_qtpdose1,lifetime_ap_exposure_screen
chrap_qtpdays1,lifetime_ap_exposure_screen
chrap_qtpdosecourse1,lifetime_ap_exposure_screen
chrap_qtpdoseeq1,lifetime_ap_exposure_screen
chrap_qtpdose2,lifetime_ap_exposure_screen
chrap_qtpdays2,lifetime_ap_exposure_screen
chrap_qtpdosecourse2,lifetime_ap_exposure_screen
chrap_qtpdoseeq2,lifetime_ap_exposure_screen
chrap_qtpdose3,lifetime_ap_exposure_screen
chrap_qtpdays3,lifetime_ap_exposure_screen
chrap_qtpdosecourse3,lifetime_ap_exposure_screen
chrap_qtpdoseeq3,lifetime_ap_exposure_screen
chrap_ris,lifetime_ap_exposure_screen
chrap_riscourse,lifetime_ap_exposure_screen
chrap_risdose1,lifetime_ap_exposure_screen
chrap_risdays1,lifetime_ap_exposure_screen
chrap_risdosecourse1,lifetime_ap_exposure_screen
chrap_risdoseeq1,lifetime_ap_exposure_screen
chrap_risdose2,lifetime_ap_exposure_screen
chrap_risdays2,lifetime_ap_exposure_screen
chrap_risdosecourse2,lifetime_ap_exposure_screen
chrap_risdoseeq2,lifetime_ap_exposure_screen
chrap_risdose3,lifetime_ap_exposure_screen
chrap_risdays3,lifetime_ap_exposure_screen
chrap_risdosecourse3,lifetime_ap_exposure_screen
chrap_risdoseeq3,lifetime_ap_exposure_screen
chrap_sul,lifetime_ap_exposure_screen
chrap_sulcourse,lifetime_ap_exposure_screen
chrap_suldose1,lifetime_ap_exposure_screen
chrap_suldays1,lifetime_ap_exposure_screen
chrap_suldosecourse1,lifetime_ap_exposure_screen
chrap_suldoseeq1,lifetime_ap_exposure_screen
chrap_suldose2,lifetime_ap_exposure_screen
chrap_suldays2,lifetime_ap_exposure_screen
chrap_suldosecourse2,lifetime_ap_exposure_screen
chrap_suldoseeq2,lifetime_ap_exposure_screen
chrap_suldose3,lifetime_ap_exposure_screen
chrap_suldays3,lifetime_ap_exposure_screen
chrap_suldosecourse3,lifetime_ap_exposure_screen
chrap_suldoseeq3,lifetime_ap_exposure_screen
chrap_thi,lifetime_ap_exposure_screen
chrap_thicourse,lifetime_ap_exposure_screen
chrap_thidose1,lifetime_ap_exposure_screen
chrap_thidays1,lifetime_ap_exposure_screen
chrap_thidosecourse1,lifetime_ap_exposure_screen
chrap_thidoseeq1,lifetime_ap_exposure_screen
chrap_thidose2,lifetime_ap_exposure_screen
chrap_thidays2,lifetime_ap_exposure_screen
chrap_thidosecourse2,lifetime_ap_exposure_screen
chrap_thidoseeq2,lifetime_ap_exposure_screen
chrap_thidose3,lifetime_ap_exposure_screen
chrap_thidays3,lifetime_ap_exposure_screen
chrap_thidosecourse3,lifetime_ap_exposure_screen
chrap_thidoseeq3,lifetime_ap_exposure_screen
chrap_thz,lifetime_ap_exposure_screen
chrap_thzcourse,lifetime_ap_exposure_screen
chrap_thzdose1,lifetime_ap_exposure_screen
chrap_thzdays1,lifetime_ap_exposure_screen
chrap_thzdosecourse1,lifetime_ap_exposure_screen
chrap_thzdoseeq1,lifetime_ap_exposure_screen
chrap_thzdose2,lifetime_ap_exposure_screen
chrap_thzdays2,lifetime_ap_exposure_screen
chrap_thzdosecourse2,lifetime_ap_exposure_screen
chrap_thzdoseeq2,lifetime_ap_exposure_screen
chrap_thzdose3,lifetime_ap_exposure_screen
chrap_thzdays3,lifetime_ap_exposure_screen
chrap_thzdosecourse3,lifetime_ap_exposure_screen
chrap_thzdoseeq3,lifetime_ap_exposure_screen
chrap_tpz,lifetime_ap_exposure_screen
chrap_tpzcourse,lifetime_ap_exposure_screen
chrap_tpzdose1,lifetime_ap_exposure_screen
chrap_tpzdays1,lifetime_ap_exposure_screen
chrap_tpzdosecourse1,lifetime_ap_exposure_screen
chrap_tpzdoseeq1,lifetime_ap_exposure_screen
chrap_tpzdose2,lifetime_ap_exposure_screen
chrap_tpzdays2,lifetime_ap_exposure_screen
chrap_tpzdosecourse2,lifetime_ap_exposure_screen
chrap_tpzdoseeq2,lifetime_ap_exposure_screen
chrap_tpzdose3,lifetime_ap_exposure_screen
chrap_tpzdays3,lifetime_ap_exposure_screen
chrap_tpzdosecourse3,lifetime_ap_exposure_screen
chrap_tpzdoseeq3,lifetime_ap_exposure_screen
chrap_zpd,lifetime_ap_exposure_screen
chrap_zpdcourse,lifetime_ap_exposure_screen
chrap_zpddose1,lifetime_ap_exposure_screen
chrap_zpddays1,lifetime_ap_exposure_screen
chrap_zpddosecourse1,lifetime_ap_exposure_screen
chrap_zpddoseeq1,lifetime_ap_exposure_screen
chrap_zpddose2,lifetime_ap_exposure_screen
chrap_zpddays2,lifetime_ap_exposure_screen
chrap_zpddosecourse2,lifetime_ap_exposure_screen
chrap_zpddoseeq2,lifetime_ap_exposure_screen
chrap_zpddose3,lifetime_ap_exposure_screen
chrap_zpddays3,lifetime_ap_exposure_screen
chrap_zpddosecourse3,lifetime_ap_exposure_screen
chrap_zpddoseeq3,lifetime_ap_exposure_screen
chrap_total,lifetime_ap_exposure_screen
chrap_exclude,lifetime_ap_exposure_screen
chrap_include,lifetime_ap_exposure_screen
chrpharm_missing,past_pharmaceutical_treatment
chrpharm_missing_table,past_pharmaceutical_treatment
chrpharm_missing_spec,past_pharmaceutical_treatment
chrpharm_interview_date,past_pharmaceutical_treatment
chrpharm_dateerror1,past_pharmaceutical_treatment
chrpharm_dateerror2,past_pharmaceutical_treatment
chrpharm_dateerror3,past_pharmaceutical_treatment
chrpharm_dateerror4,past_pharmaceutical_treatment
chrpharm_entry_date,past_pharmaceutical_treatment
chrpharm_dateerror5,past_pharmaceutical_treatment
chrpharm_dateerror6,past_pharmaceutical_treatment
chrpharm_redcap_user,past_pharmaceutical_treatment
chrpharm_instructions_past,past_pharmaceutical_treatment
chrpharm_med_past,past_pharmaceutical_treatment
